"","county_labels","date","AQI","lead","co","so2","no2","o3","pm10","pm25","time"
"1","Alameda",2014-01-01,60,0.05,0.608333,0.695455,19.795652,0.013882,33,1307.7,1
"2","Alameda",2014-02-01,28,0.052,0.408333,0.416234,10.973913,0.020353,13,547.6,2
"3","Alameda",2014-03-01,34,0.0655,0.383333,0.6,8.621739,0.027529,15,642.4,3
"4","Alameda",2014-04-01,40,0.036,0.341667,0.678261,6.590909,0.034176,19.5,686,4
"5","Alameda",2014-05-01,38,0.03,0.3,0.695455,4.804348,0.033765,22.5,696,5
"6","Alameda",2014-06-01,37,0.023,0.275,0.5886365,4.873913,0.027824,25,696.2,6
"7","Alameda",2014-07-01,28,0.021,0.3,0.581818,4.8413045,0.023353,21,478.4,7
"8","Alameda",2014-08-01,31,0.021,0.3,0.380952,4.782609,0.025353,23,534,8
"9","Alameda",2014-09-01,35,0.021,0.35,0.575,6.091304,0.027765,29,592,9
"10","Alameda",2014-10-01,34,0.017,0.4,0.716667,10.293478,0.025706,29,528.2,10
"11","Alameda",2014-11-01,44,0.019,0.5,0.6651515,12.795652,0.016882,20,875,11
"12","Alameda",2014-12-01,35,0.0235,0.433333,0.433333,10.886957,0.016588,11,759,12
"13","Alameda",2015-01-01,70,0.024,0.616667,0.958117,17.091304,0.008765,18,1324.6,13
"14","Alameda",2015-02-01,43,0.018,0.4625,0.7069265,11.045652,0.0194415,17,630.6,14
"15","Alameda",2015-03-01,35,0.016,0.404167,0.786364,10.204348,0.026882,15,553.2,15
"16","Alameda",2015-04-01,42,0.0175,0.3151515,0.690909,6.1,0.035882,17.5,480,16
"17","Alameda",2015-05-01,38,0.014,0.3,0.486364,3.747826,0.036294,17,477,17
"18","Alameda",2015-06-01,34,0.018,0.314286,0.4704545,5.256522,0.029706,22,542.6,18
"19","Alameda",2015-07-01,28,0.019,0.3,0.509091,3.972727,0.024357,18,384,19
"20","Alameda",2015-08-01,33,0.017,0.3375,0.522727,4.726087,0.026706,27,625.2,20
"21","Alameda",2015-09-01,35,0.0195,0.35,0.672727,8.417391,0.028,34,435.6,21
"22","Alameda",2015-10-01,33,0.019,0.425,0.7,10.128261,0.025765,33,515.4,22
"23","Alameda",2015-11-01,41,0.0195,0.495833,0.8409095,13.3260865,0.016294,12,502.4,23
"24","Alameda",2015-12-01,41,0.025,0.495833,0.831818,13.16087,0.016059,18,583.4,24
"25","Alameda",2016-01-01,32,0.017,0.441667,0.7,10.813043,0.018706,10.5,553.2,25
"26","Alameda",2016-02-01,38,0.0275,0.466667,0.9477275,12.626087,0.019529,13,669.4,26
"27","Alameda",2016-03-01,32,0.019,0.358333,0.672727,6.9717395,0.027,13,389.8,27
"28","Alameda",2016-04-01,39,0.0175,0.316667,0.840909,5.662215,0.034176,17,514.4,28
"29","Alameda",2016-05-01,33,0.014,0.275,0.752174,4.7249425,0.030706,18,595,29
"30","Alameda",2016-06-01,35,0.015,0.2625,0.8,5.027808,0.029765,24,559.6,30
"31","Alameda",2016-07-01,30,0.013,0.270833,0.686364,4.4465415,0.024176,25,536.2,31
"32","Alameda",2016-08-01,31,0.014,0.2875,0.673913,4.817391,0.025706,28,589.6,32
"33","Alameda",2016-09-01,40,0.017,0.341667,0.795455,6.508696,0.028294,35,572.8,33
"34","Alameda",2016-10-01,32,0.015,0.366667,0.777273,7.754348,0.025294,20,413.6,34
"35","Alameda",2016-11-01,35,0.017,0.452941,0.968182,11.047826,0.017294,14,592.4,35
"36","Alameda",2016-12-01,44,0.013,0.5125,1.0932805,13.465217,0.015059,11.5,654.2,36
"37","Alameda",2017-01-01,31,0.013,0.433333,0.986957,10.982609,0.020647,7,672.8,37
"38","Alameda",2017-02-01,32,0.01975,0.4,0.917391,8.065217,0.027471,8,416.1,38
"39","Alameda",2017-03-01,34,0.0175,0.383333,0.821396,8.213043,0.027412,12,445.8,39
"40","Alameda",2017-04-01,40,0.01475,0.327917,0.409091,6.0978265,0.034941,13,438.9,40
"41","Alameda",2017-05-01,35,0.013,0.3,0.4185065,4.46087,0.031235,21,539.7,41
"42","Alameda",2017-06-01,30,0.0145,0.3,0.2727275,4.508696,0.025412,23,532.9,42
"43","Alameda",2017-07-01,37,0.013,0.325,0.381818,5.2108695,0.025,27,645.6,43
"44","Alameda",2017-08-01,47,0.01375,0.316667,0.481818,5.3,0.026471,33,792.1,44
"45","Alameda",2017-09-01,41,0.0155,0.4,0.577273,6.9130435,0.028235,33,857.3,45
"46","Alameda",2017-10-01,48.5,0.012,0.5020835,0.790909,12.534783,0.026588,52.5,1130.9,46
"47","Alameda",2017-11-01,34,0.0145,0.458333,0.6710475,11.828261,0.018412,14,675.6,47
"48","Alameda",2017-12-01,64,0.0145,0.633333,0.9333005,18.778261,0.0122645,26,1225.7,48
"49","Alameda",2018-01-01,50,0.016,0.483333,0.704348,13.008696,0.012647,11,866.2,49
"50","Alameda",2018-02-01,36,0.016,0.429167,0.732609,12.265217,0.024176,13.5,480.8,50
"51","Alameda",2018-03-01,35,0.013,0.383333,0.495455,9.145652,0.027471,8,415.8,51
"52","Alameda",2018-04-01,39,0.012,0.325,0.375593,6.495652,0.033765,14,554,52
"53","Alameda",2018-05-01,34,0.0125,0.3,0.268182,4.145652,0.031941,19.5,552.3,53
"54","Alameda",2018-06-01,40,0.015,0.295455,0.506818,4.865217,0.029824,23.5,648.2,54
"55","Alameda",2018-07-01,33,0.017,0.3,0.582609,4.734783,0.025941,27,509.9,55
"56","Alameda",2018-08-01,53,0.019,0.3520835,0.4709485,5.443478,0.028412,37,911.3,56
"57","Alameda",2018-09-01,42,0.014,0.3125,0.637747,6.621739,0.0274415,34,742.9,57
"58","Alameda",2018-10-01,33,0.015,0.383333,0.734783,9.904545,0.024059,31,528.5,58
"59","Alameda",2018-11-01,55,0.016,0.6375,0.8369565,16.814073,0.017941,46,2534.5,59
"60","Alameda",2018-12-01,40,0.014,0.4625,0.547619,11.2434785,0.014235,10,610.3,60
"61","Alameda",2019-01-01,36,0.013,0.454167,0.5630435,11.834783,0.0177945,12,602.1,61
"62","Alameda",2019-02-01,34,0.012,0.3375,0.421739,7.236364,0.030118,8,248.6,62
"63","Alameda",2019-03-01,38,0.016,0.379167,0.447826,7.934783,0.031588,10,346.8,63
"64","Alameda",2019-04-01,37,0.012,0.321739,0.4511855,5.530435,0.032059,16,473.2,64
"65","Alameda",2019-05-01,35,0.012,0.283333,0.417391,3.952174,0.0322645,16,413.4,65
"66","Alameda",2019-06-01,31,0.012,0.3,0.45,4.782609,0.027353,21,528.4,66
"67","Alameda",2019-07-01,30,0.012,0.3,0.4,4.321739,0.024412,24,510.1,67
"68","Alameda",2019-08-01,31,0.015,0.329167,0.426087,4.8658515,0.026529,25,423,68
"69","Alameda",2019-09-01,31,0.016,0.3,0.4,5.5960145,0.025471,22,374.2,69
"70","Alameda",2019-10-01,36,0.019,0.408333,0.682609,11.515,0.027235,39,535.2,70
"71","Alameda",2019-11-01,48,0.014,0.46875,0.762154,13.456522,0.0229115,40.5,718.3,71
"72","Alameda",2019-12-01,28,0.012,0.416667,0.513636,10.121739,0.016647,9,441.7,72
"73","Alpine",2014-01-01,58,0.05,0.6,0.663636,19.830435,0.013824,29,653.85,1
"74","Alpine",2014-02-01,27,0.052,0.404167,0.427273,11.0326085,0.020353,13,273.8,2
"75","Alpine",2014-03-01,34,0.0655,0.379167,0.6,8.717391,0.0279705,14,321.2,3
"76","Alpine",2014-04-01,41,0.036,0.341667,0.669565,6.613043,0.034588,15,343,4
"77","Alpine",2014-05-01,38,0.03,0.3,0.682609,4.66087,0.034059,19,348,5
"78","Alpine",2014-06-01,36,0.023,0.270833,0.609091,4.656522,0.028,20,348.1,6
"79","Alpine",2014-07-01,29,0.021,0.291667,0.613636,4.6434785,0.023765,18,239.2,7
"80","Alpine",2014-08-01,31,0.021,0.3,0.368182,4.652174,0.025588,19,267,8
"81","Alpine",2014-09-01,34,0.021,0.329167,0.5701085,6.026659,0.028,21,296,9
"82","Alpine",2014-10-01,34,0.017,0.3895835,0.722727,10.126087,0.0260295,22,264.1,10
"83","Alpine",2014-11-01,44,0.019,0.491667,0.659091,12.504348,0.017059,16,437.5,11
"84","Alpine",2014-12-01,36,0.0235,0.429167,0.422727,10.930435,0.016588,11,379.5,12
"85","Alpine",2015-01-01,72,0.024,0.616667,0.9599805,16.956522,0.0087355,20.5,662.3,13
"86","Alpine",2015-02-01,44,0.018,0.458333,0.709091,11.043478,0.019235,18,315.3,14
"87","Alpine",2015-03-01,35,0.016,0.395833,0.786364,10.1434785,0.027235,16,288.3,15
"88","Alpine",2015-04-01,42,0.0175,0.3,0.690909,5.86,0.036353,17,240,16
"89","Alpine",2015-05-01,38,0.014,0.3,0.531818,3.652174,0.036588,17,238.5,17
"90","Alpine",2015-06-01,34,0.018,0.3,0.504545,5.0586955,0.030059,22,271.3,18
"91","Alpine",2015-07-01,29,0.019,0.3,0.518182,3.797826,0.024529,18,192,19
"92","Alpine",2015-08-01,35,0.017,0.320833,0.542857,4.469565,0.027059,24,312.6,20
"93","Alpine",2015-09-01,35,0.0195,0.333333,0.7,7.886957,0.028353,31,217.8,21
"94","Alpine",2015-10-01,35,0.019,0.4125,0.745455,10,0.026176,32,257.7,22
"95","Alpine",2015-11-01,43,0.0195,0.495833,0.8613875,13.16087,0.016176,13.5,251.2,23
"96","Alpine",2015-12-01,45,0.025,0.491667,0.856522,12.9543475,0.015882,16,291.7,24
"97","Alpine",2016-01-01,33,0.017,0.4375,0.7,10.108696,0.018824,11,276.6,25
"98","Alpine",2016-02-01,38,0.0275,0.4625,0.9477275,12.23913,0.02,18,334.7,26
"99","Alpine",2016-03-01,32,0.019,0.35,0.672727,6.791304,0.027176,12,194.9,27
"100","Alpine",2016-04-01,39,0.0175,0.3104165,0.840909,5.197826,0.034294,13,257.2,28
"101","Alpine",2016-05-01,33,0.014,0.266667,0.752174,4.3,0.030882,12,297.5,29
"102","Alpine",2016-06-01,35,0.015,0.2625,0.8,4.704348,0.030118,18,279.8,30
"103","Alpine",2016-07-01,30,0.013,0.270833,0.686364,4.134783,0.024471,20,268.1,31
"104","Alpine",2016-08-01,31,0.014,0.2875,0.673913,4.413043,0.026118,24,294.8,32
"105","Alpine",2016-09-01,40,0.017,0.341667,0.795455,5.969565,0.028824,30,286.4,33
"106","Alpine",2016-10-01,32,0.015,0.358333,0.777273,7.495652,0.0256175,14.5,206.8,34
"107","Alpine",2016-11-01,35,0.017,0.45,0.968182,10.7719205,0.017853,14,296.2,35
"108","Alpine",2016-12-01,45,0.013,0.5104165,1.0932805,13.282609,0.015118,12,327.1,36
"109","Alpine",2017-01-01,32,0.013,0.429167,0.968182,10.5130435,0.020882,8,336.4,37
"110","Alpine",2017-02-01,32,0.01975,0.3930555,0.865217,7.756522,0.027529,8,208.05,38
"111","Alpine",2017-03-01,35,0.0175,0.38125,0.790909,7.917391,0.027412,14,222.9,39
"112","Alpine",2017-04-01,40,0.01475,0.325,0.4,5.930435,0.0349115,13,219.45,40
"113","Alpine",2017-05-01,35,0.013,0.3,0.434783,4.23913,0.031647,16.5,269.85,41
"114","Alpine",2017-06-01,31,0.0145,0.2875,0.290909,4.317391,0.025667,18,266.45,42
"115","Alpine",2017-07-01,37,0.013,0.308333,0.409091,5.008696,0.025059,24,322.8,43
"116","Alpine",2017-08-01,47,0.01375,0.3125,0.527273,4.93913,0.0266175,28,396.05,44
"117","Alpine",2017-09-01,41,0.0155,0.4,0.581818,6.569565,0.028588,26.5,428.65,45
"118","Alpine",2017-10-01,47,0.012,0.504167,0.771429,11.876087,0.026706,29,565.45,46
"119","Alpine",2017-11-01,35,0.0145,0.45,0.640909,11.2043475,0.0187355,12,337.8,47
"120","Alpine",2017-12-01,65,0.0145,0.633333,0.930435,18.082609,0.0124415,23,612.85,48
"121","Alpine",2018-01-01,52,0.016,0.483333,0.673913,12.697826,0.012824,11,763.2,49
"122","Alpine",2018-02-01,38,0.016,0.4270835,0.7,12.217391,0.024294,13.5,407.4,50
"123","Alpine",2018-03-01,35,0.013,0.38125,0.465217,9.095652,0.0279115,8,350.6,51
"124","Alpine",2018-04-01,39,0.012,0.3020835,0.373913,6.3608695,0.034235,14,438.3,52
"125","Alpine",2018-05-01,34,0.0125,0.275,0.295238,3.917391,0.032176,19.5,485,53
"126","Alpine",2018-06-01,40,0.015,0.270833,0.547826,4.593478,0.029882,23.5,571.2,54
"127","Alpine",2018-07-01,35,0.017,0.3,0.652174,4.591304,0.0259705,27,443.2,55
"128","Alpine",2018-08-01,54,0.019,0.325,0.490476,5.134783,0.0290295,37,712.6,56
"129","Alpine",2018-09-01,42,0.014,0.3,0.645455,6.378261,0.027647,34,551.7,57
"130","Alpine",2018-10-01,33,0.015,0.379167,0.695652,9.9066205,0.024059,31,416.1,58
"131","Alpine",2018-11-01,56,0.016,0.6345235,0.814643,17.297826,0.017706,46,2389.2,59
"132","Alpine",2018-12-01,42,0.014,0.458333,0.531818,11.043478,0.013853,10,536.3,60
"133","Alpine",2019-01-01,38,0.013,0.429167,0.5630435,11.7391305,0.017882,14,582.8,61
"134","Alpine",2019-02-01,34,0.012,0.325,0.421739,7.1597825,0.030176,8,246.8,62
"135","Alpine",2019-03-01,38,0.016,0.358333,0.447826,8.0137125,0.03175,10,344.1,63
"136","Alpine",2019-04-01,37,0.012,0.3,0.4511855,5.573913,0.032294,14,432.2,64
"137","Alpine",2019-05-01,36,0.012,0.241667,0.417391,3.7347825,0.032471,14,391,65
"138","Alpine",2019-06-01,32,0.012,0.258333,0.45,4.5869565,0.0276175,17,489.3,66
"139","Alpine",2019-07-01,30,0.012,0.258333,0.4,3.921739,0.024412,18,472.1,67
"140","Alpine",2019-08-01,31,0.015,0.3,0.426087,4.594203,0.026647,20,398.6,68
"141","Alpine",2019-09-01,31,0.016,0.3,0.4,5.582609,0.0257945,17,332.5,69
"142","Alpine",2019-10-01,35,0.019,0.4,0.682609,11.4,0.027588,28,528.9,70
"143","Alpine",2019-11-01,48,0.014,0.458333,0.762154,13.443478,0.023588,25,718.3,71
"144","Alpine",2019-12-01,29,0.012,0.40625,0.513636,10.0847825,0.016765,9,441.7,72
"145","Amador",2014-01-01,61,0.05,0.616667,0.65,19.082609,0.013882,26,1103.55,1
"146","Amador",2014-02-01,27,0.052,0.4125,0.395455,10.5608695,0.020353,12,339.6,2
"147","Amador",2014-03-01,34,0.0655,0.3875,0.568182,8.306917,0.027529,13,321.2,3
"148","Amador",2014-04-01,40,0.036,0.341667,0.65,6.3739135,0.034176,14,388,4
"149","Amador",2014-05-01,38,0.03,0.3,0.627273,4.466546,0.033765,17,348,5
"150","Amador",2014-06-01,36,0.023,0.275,0.586364,4.656522,0.027824,19,389.6,6
"151","Amador",2014-07-01,28,0.021,0.3,0.554545,4.7,0.023353,17,332.8,7
"152","Amador",2014-08-01,31,0.021,0.3,0.340909,4.643478,0.025353,18,370.6,8
"153","Amador",2014-09-01,34,0.021,0.354167,0.518182,5.9,0.027765,19,521.4,9
